"Faturamento por dia Tradiça  ","","","","","","","","","","","",""
"Data ","","","","99","","","","","","","",""
"Terça 12/05","R$ 1.032,12","R$ 967,94","R$ 371,99","","R$ 2.372,05","","","","","","",""
"Quarta 13/05 ","R$ 693,90","R$ 313,45","R$ 1.009,27","","R$ 2.016,62","","","","","","",""
"Quinta14/05","R$ 1.105,23","R$ 584,01","R$ 863,15","","R$ 2.552,39","","","","","","",""
"Sexta 15/05","R$ 1.153,33","R$ 1.423,60","R$ 931,23","","R$ 3.508,16","","","","","","",""
"sábado 16/05","R$ 901,21","R$ 917,00","R$ 692,48","","R$ 2.510,69","","","","","","",""
"domingo 17/05","R$ 923,51","R$ 1.407,56","R$ 1.136,40","","R$ 3.467,47","","","","","","",""
"Terça 19/05","R$ 1.084,08","R$ 1.333,98","R$ 518,69","","R$ 2.936,75","","","","","","",""
"Quarta 20/05","R$ 644,46","R$ 247,64","R$ 665,93","","R$ 1.558,03","","","","","","",""
"Quinta 21/05","R$ 935,74","R$ 714,80","R$ 693,95","","R$ 2.344,49","","","","","","",""
"Sexta 22/05","R$ 1.376,00","R$ 1.302,54","R$ 1.032,67","","R$ 3.711,21","","","","","","",""
"sábado 23/05","R$ 744,17","R$ 1.016,29","R$ 594,27","","R$ 2.354,73","","","","","","",""
"domingo 24/05","R$ 907,42","R$ 994,91","R$ 940,53","","R$ 2.842,86","","","","","","",""
"Terça 26/05","R$ 85,80","R$ 75,68","R$ 303,35","","R$ 464,83","","","","","","",""
"Quarta 27/05","R$ 160,46","R$ 313,03","R$ 304,75","","R$ 778,24","","","","","","",""
"Quinta 28/05","R$ 180,47","R$ 464,03","R$ 176,36","","R$ 820,86","","","","","","",""
"Sexta 29/05","R$ 265,80","R$ 1.016,16","R$ 686,22","","R$ 1.968,18","","","","","","",""
"sábado 30/05","R$ 332,60","R$ 919,72","R$ 946,20","","R$ 2.198,52","","","","","","",""
"domingo 31/05","R$ 224,48","R$ 1.084,62","R$ 896,73","","R$ 2.205,83","","","","","","",""
"Terça 02/06","R$ 357,11","R$ 594,58","R$ 425,81","","R$ 1.377,50","","","","","","",""
"Quarta 03/06","R$ 226,26","R$ 972,55","R$ 1.270,03","","R$ 2.468,84","","","","","","",""
"Quinta 04/06","R$ 650,43","R$ 1.219,24","R$ 1.077,90","","R$ 2.947,57","","","","","","",""
"Sexta 05/06","R$ 786,67","R$ 880,12","R$ 695,13","","R$ 2.361,92","","","","","","",""
"sábado 06/06","R$ 421,24","R$ 1.670,92","R$ 1.019,91","","R$ 3.112,07","","","","","","",""
"domingo 07/06","R$ 657,91","R$ 1.434,84","R$ 590,10","","R$ 2.682,85","","","","","","",""
"Terça 09/06","R$ 376,28","R$ 659,75","R$ 528,64","","R$ 1.564,67","","","","","","",""
"Quarta 10/06","R$ 435,91","R$ 798,75","R$ 429,47","","R$ 1.664,13","","","","","","",""
"Quinta 11/06","R$ 303,27","R$ 1.111,14","R$ 820,40","","R$ 2.234,81","","","","","","",""
"Sexta 12/06","R$ 742,49","R$ 927,20","R$ 1.331,31","","R$ 3.001,00","","","","","","",""
"sábado 13/06","R$ 620,21","R$ 362,97","R$ 671,88","","R$ 1.655,06","","","","","","",""
"domingo 14/06","R$ 251,96","R$ 1.250,06","R$ 1.165,03","","R$ 2.667,05","","","","","","",""
"Terça 16/06","R$ 264,75","R$ 616,02","R$ 624,04","","R$ 1.504,81","","","","","","",""
"Quarta 17/06","R$ 641,29","R$ 605,69","R$ 996,68","","R$ 2.243,66","","","","","","",""
"Quinta 18/06","R$ 1.207,52","R$ 598,75","R$ 396,99","","R$ 2.203,26","","","","","","",""
"Sexta 19/06","R$ 779,64","R$ 810,97","R$ 1.574,58","","R$ 3.165,19","","","","","","",""
"sábado 20/06","R$ 776,48","R$ 1.778,66","R$ 1.070,46","","R$ 3.625,60","","","","","","",""
"domingo 21/06","R$ 1.996,68","R$ 1.109,97","R$ 1.360,96","","R$ 4.467,61","","","","","","",""
"Terça 23/06","R$ 517,32","R$ 684,29","R$ 1.036,83","","R$ 2.238,44","","","","","","",""
"Quarta 24/06","R$ 773,06","R$ 1.253,61","R$ 694,25","","R$ 2.720,92","","","","","","",""
"Quinta 25/06","R$ 826,42","R$ 456,15","R$ 456,93","","R$ 1.739,50","","","","","","",""
